Rodada,Mandante,Visitante
13,Gremio,Internacional
13,RB Bragantino,Corinthians
13,Coritiba,Sao Paulo
13,Fortaleza,Atletico/GO
13,Bahia,Sport
13,Palmeiras,Ceara
13,Botafogo,Fluminense
13,Flamengo,Athletico/PR
13,Goias,Santos
13,Atletico/MG,Vasco
