Data, Rodada  ,Mandante,Gols_mandante,x,Gols_visitante,Visitante,Estadio,Cidade
16/10/2020,16,Goias,1,X,1,Bahia,Serra Dourada,Goiania
14/10/2020,16,Gremio,3,X,1,Botafogo,Arena do Gremio,Porto Alegre
14/10/2020,16,Palmeiras,1,X,3,Coritiba,Allianz Parque,Sao Paulo
14/10/2020,16,Santos,0,X,1,Atletico/GO,Vila Belmiro,Santos
14/10/2020,16,Sport,3,X,5,Internacional,Ilha do Retiro,Recife
17/10/2020,17,Atletico/GO,1,X,1,Athletico/PR,Serra Dourada,Goiania
17/10/2020,17,Bahia,3,X,1,Atletico/MG,Fonte Nova,Salvador
17/10/2020,17,Botafogo,0,X,0,Goias,Nilton Santos,Rio de Janeiro
18/10/2020,17,Corinthians,1,X,5,Flamengo,Itaquerao,Sao Paulo
17/10/2020,17,Coritiba,1,X,2,Santos,Couto Pereira,Curitiba
17/10/2020,17,Fluminense,2,X,2,Ceara,Maracana,Rio de Janeiro
18/10/2020,17,Fortaleza,2,X,0,Palmeiras,Castelao,Fortaleza
18/10/2020,17,Internacional,2,X,0,Vasco,Beira-Rio,Porto Alegre
18/10/2020,17,RB Bragantino,2,X,0,Sport,Nabi Abi Chedid,Braganca Paulista
17/10/2020,17,Sao Paulo,0,X,0,Gremio,Morumbi,Sao Paulo
